game_str,timestamp,play_id,player_position,field_x,field_y,plot_x,plot_y
1902_01_TeamMG_TeamA3,2210493,74,4,102.0639,166.9986,0.35155343333333333,0.5752174
1902_01_TeamMG_TeamA3,2210493,74,6,12.3105,149.6286,0.042402833333333334,0.5153874
1902_01_TeamMG_TeamA3,5893543,186,4,25.1226,154.7421,0.0865334,0.5330005666666666
1902_01_TeamMG_TeamA3,5893543,186,6,-42.1482,141.2052,-0.14517713333333335,0.48637346666666664
1902_05_TeamML_TeamB,477129,17,4,20.3007,139.209,0.06992463333333333,0.47949766666666666
1902_05_TeamML_TeamB,477129,17,6,-30.0114,137.1759,-0.1033726,0.47249476666666673
1902_08_TeamMJ_TeamB,283044,12,4,39.4593,136.7232,0.13591536666666665,0.47093546666666664
1902_08_TeamMJ_TeamB,283044,12,6,-26.5929,138.6159,-0.09159776666666666,0.4774547666666667
1902_08_TeamMJ_TeamB,2885344,80,4,5.0652,147.9978,0.0174468,0.5097702000000001
1902_08_TeamMJ_TeamB,2885344,80,6,-51.5607,136.0347,-0.17759796666666666,0.4685639666666666
1902_08_TeamMJ_TeamB,3770444,103,4,36.3474,134.058,0.1251966,0.4617553333333333
1902_08_TeamMJ_TeamB,3770444,103,6,-29.8017,133.1637,-0.1026503,0.4586749666666667
1902_08_TeamMJ_TeamB,6558644,169,4,52.6551,139.0287,0.18136756666666665,0.4788766333333333
1902_08_TeamMJ_TeamB,6558644,169,6,-28.8861,138.0603,-0.09949656666666666,0.47554103333333336
1902_09_TeamMJ_TeamB,9346655,252,4,22.9185,136.9932,0.07894150000000001,0.4718654666666667
1902_09_TeamMJ_TeamB,9346655,252,6,-37.1247,136.4787,-0.12787396666666664,0.4700933
1902_09_TeamMJ_TeamB,9832205,264,4,35.4558,133.2342,0.12212553333333334,0.45891779999999993
1902_09_TeamMJ_TeamB,9832205,264,6,-26.0613,140.0913,-0.08976669999999999,0.4825367
1902_09_TeamMJ_TeamB,11091405,296,4,13.8663,145.7544,0.047761700000000004,0.5020429333333334
1902_09_TeamMJ_TeamB,11091405,296,6,-49.1823,136.6797,-0.1694057,0.47078563333333334
1902_10_TeamMI_TeamA3,7130931,199,4,8.1216,145.2315,0.027974400000000003,0.5002418333333334
1902_10_TeamMI_TeamA3,7130931,199,6,-40.2138,133.8606,-0.1385142,0.4610754
1902_11_TeamMI_TeamA3,745902,25,4,43.5729,136.3602,0.15008443333333332,0.4696851333333333
1902_11_TeamMI_TeamA3,745902,25,6,-13.3614,145.3047,-0.0460226,0.5004939666666667
1902_13_TeamMD_TeamA2,3128130,86,4,22.5105,139.9353,0.07753616666666667,0.4819993666666667
1902_13_TeamMD_TeamA2,3128130,86,6,-32.5716,136.7514,-0.11219106666666666,0.47103259999999997
1902_15_TeamMK_TeamB,5135514,155,4,12.0276,144.2559,0.0414284,0.49688143333333334
1902_15_TeamMK_TeamB,5135514,155,6,-34.9869,132.8535,-0.12051043333333333,0.45760649999999997
1902_18_TeamMB_TeamA1,6778904,187,4,36.75,133.3473,0.12658333333333333,0.4593073666666666
1902_18_TeamMB_TeamA1,6778904,187,6,-20.391,130.6842,-0.07023566666666665,0.4501344666666667
1902_19_TeamME_TeamA2,1002702,34,4,43.4082,135.0351,0.14951713333333333,0.4651209
1902_19_TeamME_TeamA2,1002702,34,6,-21.4176,140.7447,-0.07377173333333334,0.4847873
1902_21_TeamME_TeamA2,6122308,172,4,81.12,127.8144,0.27941333333333335,0.4402496
1902_21_TeamME_TeamA2,6122308,172,6,21.4593,146.2398,0.07391536666666666,0.5037148666666666
1902_22_TeamMA_TeamA1,4071190,117,4,33.8445,124.491,0.11657549999999998,0.42880233333333334
1902_22_TeamMA_TeamA1,4071190,117,6,-24.3363,138.5166,-0.08382503333333334,0.47711273333333337
1902_24_TeamMA_TeamA1,923201,34,4,22.9911,141.9369,0.07919156666666666,0.4888937666666667
1902_24_TeamMA_TeamA1,923201,34,6,-47.1309,135.1812,-0.16233976666666666,0.4656241333333333
1902_26_TeamMH_TeamA3,2312856,71,4,45.1947,147.1836,0.15567063333333334,0.5069657333333334
1902_26_TeamMH_TeamA3,2312856,71,6,-21.9741,140.844,-0.07568856666666667,0.4851293333333333
1902_26_TeamMH_TeamA3,3825206,122,4,30.9387,153.5475,0.10656663333333334,0.5288858333333334
1902_26_TeamMH_TeamA3,3825206,122,6,-42.6774,143.4435,-0.14699993333333333,0.4940831666666667
1902_26_TeamMH_TeamA3,4285756,135,4,50.4189,121.233,0.1736651,0.41758033333333333
1902_26_TeamMH_TeamA3,4285756,135,6,-17.6901,142.4253,-0.06093256666666667,0.49057603333333333
1902_27_TeamMH_TeamA3,3056772,88,4,71.1711,128.5233,0.24514489999999997,0.4426913666666667
1902_27_TeamMH_TeamA3,3056772,88,6,12.2685,146.6958,0.042258166666666666,0.5052855333333333
1902_28_TeamMC_TeamA1,5482805,147,4,38.5092,141.1986,0.1326428,0.48635073333333334
1902_28_TeamMC_TeamA1,5482805,147,6,-22.1985,144.1638,-0.0764615,0.4965642
1903_01_TeamNE_TeamA2,8542844,259,4,15.0417,144.3381,0.051810300000000004,0.49716456666666664
1903_01_TeamNE_TeamA2,8542844,259,6,-40.4841,127.0893,-0.13944523333333333,0.4377520333333333
1903_01_TeamNE_TeamA2,9425100,284,4,15.8733,141.6021,0.0546747,0.4877405666666667
1903_01_TeamNE_TeamA2,9425100,284,6,-36.9912,138.3741,-0.12741413333333332,0.4766219
1903_01_TeamNE_TeamA2,10021773,301,4,44.7858,130.4529,0.15426220000000002,0.44933776666666664
1903_01_TeamNE_TeamA2,10021773,301,6,-14.1528,141.7353,-0.04874853333333333,0.48819936666666663
1903_05_TeamND_TeamA2,2193412,78,4,56.8836,139.0311,0.1959324,0.4788849
1903_05_TeamND_TeamA2,2193412,78,6,-12.3468,149.0805,-0.042527866666666664,0.5134995
1903_06_TeamND_TeamA2,4567574,141,4,23.1294,138.5829,0.07966793333333333,0.47734109999999996
1903_06_TeamND_TeamA2,4567574,141,6,-33.6495,129.711,-0.11590383333333334,0.4467823333333334
1903_07_TeamND_TeamA2,2932173,101,4,33.0714,134.0913,0.11391259999999999,0.4618700333333333
1903_07_TeamND_TeamA2,2932173,101,6,-14.0478,138.7152,-0.04838686666666667,0.4777968
1903_09_TeamNJ_TeamB,8074765,209,4,48.6948,142.0995,0.16772653333333334,0.48945383333333337
1903_09_TeamNJ_TeamB,8074765,209,6,-23.5113,148.5948,-0.08098336666666667,0.5118265333333333
1903_11_TeamNC_TeamA1,9262336,114,4,29.7312,137.859,0.10240746666666667,0.47484766666666667
1903_11_TeamNC_TeamA1,9262336,114,6,-16.7133,137.6124,-0.05756803333333333,0.47399826666666667
1903_11_TeamNC_TeamA1,9353186,117,4,30.6969,138.3549,0.10573376666666666,0.4765557666666666
1903_11_TeamNC_TeamA1,9353186,117,6,-15.2634,137.1576,-0.052573933333333336,0.4724317333333333
1903_13_TeamNG_TeamA3,7246734,215,4,40.0602,132.7002,0.13798513333333334,0.4570784666666666
1903_13_TeamNG_TeamA3,7246734,215,6,-18.5046,141.2265,-0.06373806666666666,0.4864468333333333
1903_14_TeamNG_TeamA3,4272882,106,4,13.2588,148.2654,0.0456692,0.5106919333333333
1903_14_TeamNG_TeamA3,4272882,106,6,-53.0538,140.9613,-0.18274086666666667,0.48553336666666663
1903_19_TeamNL_TeamB,775251,25,4,31.9461,131.2905,0.11003656666666667,0.45222283333333335
1903_19_TeamNL_TeamB,775251,25,6,-21.2955,139.3212,-0.07335116666666666,0.47988413333333335
1903_19_TeamNL_TeamB,1219101,41,4,29.5272,145.5078,0.1017048,0.5011935333333334
1903_19_TeamNL_TeamB,1219101,41,6,-46.14,140.0253,-0.15892666666666666,0.48230936666666663
1903_20_TeamNL_TeamB,7918816,232,4,58.8243,133.7988,0.20261703333333334,0.4608625333333333
1903_20_TeamNL_TeamB,7918816,232,6,-11.1417,144.8322,-0.038376966666666665,0.4988664666666667
1903_22_TeamNA_TeamA1,1682863,64,4,24.7515,143.1657,0.08525516666666666,0.49312629999999996
1903_22_TeamNA_TeamA1,1682863,64,6,-37.3992,137.1813,-0.12881946666666666,0.47251336666666666
1903_22_TeamNA_TeamA1,4847413,166,4,52.2255,138.2385,0.17988783333333333,0.4761548333333333
1903_22_TeamNA_TeamA1,4847413,166,6,-24.411,142.4046,-0.08408233333333334,0.4905047333333333
1903_22_TeamNA_TeamA1,5630063,187,4,24.7143,147.6888,0.08512703333333334,0.5087058666666666
1903_22_TeamNA_TeamA1,5630063,187,6,-43.8669,140.0196,-0.1510971,0.4822897333333333
1903_23_TeamNA_TeamA1,4607494,148,4,16.9872,142.6467,0.05851146666666667,0.4913386333333334
1903_23_TeamNA_TeamA1,4607494,148,6,-37.6308,139.9665,-0.1296172,0.4821068333333333
1903_25_TeamNK_TeamB,2167165,60,4,45.6408,143.6094,0.1572072,0.4946546
1903_25_TeamNK_TeamB,2167165,60,6,-17.4912,143.2287,-0.060247466666666666,0.4933433
1903_25_TeamNK_TeamB,4184565,114,4,20.1078,142.0977,0.06926020000000001,0.48944763333333335
1903_25_TeamNK_TeamB,4184565,114,6,-50.6433,139.6971,-0.17443803333333335,0.4811789
1903_29_TeamNF_TeamA2,490954,20,4,21.9636,135.399,0.0756524,0.46637433333333334
1903_29_TeamNF_TeamA2,490954,20,6,-47.6757,142.4394,-0.1642163,0.4906246
1903_29_TeamNF_TeamA2,2590829,79,4,27.1764,134.8869,0.0936076,0.4646104333333333
1903_29_TeamNF_TeamA2,2590829,79,6,-24.1248,138.1389,-0.08309653333333333,0.4758117666666667
1903_29_TeamNF_TeamA2,4122171,122,4,32.4111,135.198,0.11163823333333332,0.46568200000000004
1903_29_TeamNF_TeamA2,4122171,122,6,-20.8095,139.7985,-0.07167716666666667,0.48152816666666665
1903_30_TeamNB_TeamA1,6000571,179,4,24.9987,133.7232,0.08610663333333334,0.4606021333333333
1903_30_TeamNB_TeamA1,6000571,179,6,-31.3014,135.4998,-0.10781593333333334,0.4667215333333333
1903_30_TeamNF_TeamA2,2769797,96,4,19.32,136.7184,0.06654666666666667,0.47091893333333334
1903_30_TeamNF_TeamA2,2769797,96,6,-32.2533,136.6857,-0.1110947,0.4708063
